id;created;state;time_started;time_ended
1;2021-04-10T11:00:44;FINISHED;2021-04-10T17:54:11;2021-04-10T08:27:34
2;2021-04-10T00:31:44;BEINGTREATED;2021-04-10T04:22:35;2021-04-10T14:40:16
3;2021-04-10T01:40:48;CANCELLED;2021-04-10T07:26:00;2021-04-10T03:16:38
4;2021-04-09T22:23:03;BEINGTREATED;2021-04-10T12:39:57;2021-04-10T08:01:06
5;2021-04-10T00:11:50;CANCELLED;2021-04-10T16:19:33;2021-04-10T00:23:31
6;2021-04-09T22:15:18;FINISHED;2021-04-10T07:25:51;2021-04-10T01:44:20
7;2021-04-10T11:22:40;CANCELLED;2021-04-10T16:23:05;2021-04-10T05:36:33
8;2021-04-10T04:01:17;CANCELLED;2021-04-10T15:14:36;2021-04-10T11:38:39
9;2021-04-10T19:32:12;FINISHED;2021-04-10T08:39:21;2021-04-10T16:19:28
10;2021-04-10T08:16:46;BEINGTREATED;2021-04-10T02:19:18;2021-04-10T10:03:28
